City,City,Country,Max Temp,Lat,Lng,Current Description,Hotel Name
360,Margate,GB,64.11,51.3813,1.3862,broken clouds,Premier Inn Margate hotel
362,Ailigandi,PA,81.03,9.2333,-78.0167,overcast clouds,Akwa Reef Lodge
363,San Francisco,US,70.93,37.7749,-122.4194,smoke,The Clift Royal Sonesta Hotel
364,Acajutla,SV,81.05,13.5928,-89.8275,light rain,asi es
365,Bayir,TR,52.32,37.2687,28.2167,broken clouds,Hotel Babadag
366,Tahta,EG,74.84,26.7693,31.5021,few clouds,مصطفي عساف
367,Saint Anthony,US,73.15,45.0205,-93.218,clear sky,"Holiday Inn Express Roseville-St. Paul, an IHG Hotel"
368,Latina,IT,75.07,41.45,13.1,clear sky,Radici b&b
369,Winchester,GB,64.49,51.0651,-1.3187,light intensity drizzle,"The Wykeham Arms, Winchester"
370,Praia,CV,77.54,14.9215,-23.5087,few clouds,LT Aparthotel
371,Corning,US,60.76,42.1428,-77.0547,broken clouds,Fairfield Inn by Marriott Corning Riverside
372,Kavieng,PG,83.86,-2.5744,150.7967,scattered clouds,Nusa Island Retreat
373,Souillac,MU,68.38,-20.5167,57.5167,light intensity shower rain,Shanti Maurice Resort & Spa
374,Kendari,ID,82.96,-3.945,122.4989,overcast clouds,Hotel Wixel
375,San Juan,AR,63.37,-31.5375,-68.5364,clear sky,Hotel Provincial
376,Boke,GN,75.74,10.9409,-14.2967,overcast clouds,Hôtel Rio Nunez - Boké
380,Pundaguitan,PH,83.12,6.3711,126.1689,overcast clouds,Leonardo Family Beach House 1
383,Puerto Baquerizo Moreno,EC,68.85,-0.9,-89.6,scattered clouds,Hotel los Algarrobos
384,Aktau,KZ,66.78,43.65,51.2,broken clouds,Silk Way Hotel
386,Trinidad,BO,86.59,-14.8333,-64.9,clear sky,Hotel Piesta
389,Kremenchuk,UA,50.56,49.0973,33.4197,broken clouds,"Готель ""Йолки-Палки"""
390,Honiara,SB,83.73,-9.4333,159.95,overcast clouds,Heritage Park Hotel
391,Skibbereen,IE,51.6,51.55,-9.2667,overcast clouds,The West Cork Hotel
393,Riyadh,SA,77.14,24.6877,46.7219,overcast clouds,"InterContinental Riyadh, an IHG Hotel"
394,Bosaso,SO,86.49,11.2842,49.1816,few clouds,Red Sea Hotel
395,Santa Rosa,PH,84.85,14.3122,121.1114,broken clouds,Erlyn’s Sta Rosa City Home
396,Mersing,MY,78.71,2.4312,103.8405,scattered clouds,Timotel Hotel
397,Lyubuchany,RU,50.09,55.2511,37.5456,overcast clouds,Coinpace
398,Dwarka,IN,81.09,22.2394,68.9678,overcast clouds,Hotel Narayan Avezika Comfort
399,Flinders,AU,64.2,-34.5833,150.8552,broken clouds,Shellharbour Resort & Conference Centre
400,Marieville,CA,59.92,45.4334,-73.1658,overcast clouds,Manoir Ramezay
402,Petropavlovsk-Kamchatskiy,RU,54.19,53.0452,158.6483,few clouds,The Hotel Petropavlovsky
405,Sao Joao Da Barra,BR,73.0,-21.6403,-41.0511,overcast clouds,Pousada Porto De Canoas
406,Safford,US,72.52,32.834,-109.7076,clear sky,SpringHill Suites by Marriott Thatcher
407,Valera,VE,73.04,9.3178,-70.6036,broken clouds,Hotel Camino Real
409,Qinzhou,CN,81.61,21.95,108.6167,clear sky,Jinjiang Inn Style Qingzhou Walmart
410,Ponta Do Sol,PT,70.72,32.6667,-17.1,scattered clouds,Hotel do Campo
412,Atasu,KZ,50.88,48.6814,71.6433,overcast clouds,Dostyk
414,Trofors,NO,58.35,65.5333,13.4063,overcast clouds,Hause for Marcus and Martinus
415,Vanimo,PG,85.64,-2.6741,141.3028,light rain,Vahmoneh Lodge Vanimo
416,Port Moresby,PG,83.73,-9.4431,147.1797,broken clouds,Lamana Hotel (Port Moresby)
418,Poum,NC,72.82,-20.2333,164.0167,clear sky,Gîte kajeon
419,The Valley,AI,84.81,18.217,-63.0578,clear sky,CeBlue Villas & Beach Resort
420,Katobu,ID,83.41,-4.9408,122.5276,broken clouds,La Ode Husein
421,Shakawe,BW,64.2,-18.3667,21.85,clear sky,Ditlhapi Guest House
422,Puerto Carreno,CO,78.89,6.189,-67.4859,overcast clouds,Casa Hotel Victoria
423,Russell,US,71.2,32.3502,-85.1999,clear sky,Macs
424,Yaring,TH,80.64,6.8662,101.3689,overcast clouds,สถานที่จัดงานแต่ง SOFEE & DORN
425,Hambantota,LK,78.19,6.1241,81.1185,overcast clouds,Bungalow 63
427,Ferrol,ES,66.36,43.4832,-8.2369,light rain,Parador de Ferrol
429,Rantauprapat,ID,74.1,2.1,99.8333,overcast clouds,Permata Land Hotel & Resort
431,Alihe,CN,53.02,50.5667,123.7167,clear sky,Alihe Forestry Hotel
433,Requena,ES,62.13,39.4883,-1.1004,broken clouds,Hotel Avenida
434,Sao Felix Do Xingu,BR,80.22,-6.6447,-51.995,overcast clouds,Rio Xingu Camping
436,Port Hedland,AU,84.25,-20.3167,118.5667,broken clouds,The Esplanade Hotel
437,Nacala,MZ,69.69,-14.5428,40.6728,clear sky,Nacala Plaza Business Design Hotel
438,Kaitangata,NZ,52.93,-46.2817,169.8464,clear sky,Kaitangata Motor Camp
439,Maumere,ID,82.69,-8.6199,122.2111,overcast clouds,Sylvia Hotel
440,Ahipara,NZ,57.04,-35.1667,173.1667,light rain,Ahipara Holiday Park
441,Lorengau,PG,83.19,-2.0226,147.2712,overcast clouds,Lorengau Harbourside Hotel
443,Lishu,CN,63.25,43.3047,124.3278,overcast clouds,Yuzhen Hotel
445,Bela,IN,80.04,25.9333,81.9833,few clouds,Raj Bhawan
446,Almeirim,BR,80.85,-1.5233,-52.5817,scattered clouds,Ricácio Hotel
447,Sao Francisco,BR,77.2,-15.9486,-44.8644,clear sky,Hotel Supremo
448,Tynda,RU,53.51,55.1667,124.7167,light rain,Medis
450,Mahon,ES,70.36,39.8885,4.2658,scattered clouds,ARTIEM Capri
451,Gotsu,JP,73.54,35.0,132.2167,clear sky,Yurusato
452,Cuajinicuilapa,MX,78.71,16.4667,-98.4167,overcast clouds,Pozo S. XVI
454,Black River,JM,82.4,18.0264,-77.8487,scattered clouds,Idlers' Rest Beach Hotel
456,Escuintla,GT,79.48,14.305,-90.785,overcast clouds,HOTEL SARITA
457,Mao,ES,70.36,39.8885,4.2658,scattered clouds,ARTIEM Capri
458,Tonj,SS,69.13,7.2737,28.6822,scattered clouds,Lakan Hotel
459,Ialibu,PG,68.63,-6.2821,143.9935,overcast clouds,Eastwood Guesthouse
460,Gravelbourg,CA,71.87,49.8834,-106.5512,few clouds,Historic Bishops Residence Bed & Breakfast
461,Tallahassee,US,77.65,30.4383,-84.2807,few clouds,Four Points by Sheraton Tallahassee Downtown
463,Sao Filipe,CV,78.58,14.8961,-24.4956,overcast clouds,Hotel Xaguate
465,Vila,PT,57.33,42.0304,-8.1588,overcast clouds,Hotel Castrum Villae by Walk Hotels
466,Sorland,NO,53.46,67.667,12.6934,overcast clouds,Sjybrygga fiskecamp
467,Bud,US,68.34,39.447,-86.1758,overcast clouds,Ted McQuinn Trust
470,Kabanjahe,ID,63.36,3.1001,98.4908,overcast clouds,Kos-Kosan wanita muslim bagoes kabanjahe
471,Marquette,US,55.76,46.5333,-87.6335,scattered clouds,Al Quaal Lodge
472,Scarborough,GB,63.09,54.2797,-0.4044,overcast clouds,The Grand Hotel Scarborough
473,Bathsheba,BB,83.01,13.2167,-59.5167,few clouds,Atlantis Hotel
474,Korbach,DE,60.76,51.2756,8.873,overcast clouds,Hotel Goldflair am Rathaus
475,Frontera,MX,79.95,26.9333,-101.45,overcast clouds,Casagrande Hotel
476,Ocampo,MX,67.95,21.65,-101.5,overcast clouds,Casa de ratas
477,Garowe,SO,78.08,8.4054,48.4845,clear sky,Curubo Hotel
478,Harrisonburg,US,58.23,38.4496,-78.8689,clear sky,Hampton Inn Harrisonburg - University
479,Hwange,ZW,68.25,-18.3693,26.5019,clear sky,Hwange Colliery Guest House
481,Itaituba,BR,79.41,-4.2761,-55.9836,overcast clouds,Hotel Campos
482,Mancio Lima,BR,76.44,-7.6142,-72.8958,few clouds,Hotel e Distribuidora Voyage
483,San Cristobal,VE,77.18,7.7669,-72.225,scattered clouds,Posada Villaven C.A.
485,Belfast,GB,52.38,54.5833,-5.9333,moderate rain,Wellington Park Hotel
486,Jalu,LY,69.85,29.0331,21.5482,clear sky,صاحبة الفخامة
488,Shache,CN,63.05,38.4167,77.2406,clear sky,Delong Hotel
489,Phalombe,MW,69.76,-15.8064,35.6507,scattered clouds,RIVONIA
490,Powell River,CA,57.09,49.8496,-124.5361,mist,Rodmay Hotel
491,Port Blair,IN,80.53,11.6667,92.75,overcast clouds,"Welcomhotel By ITC Hotels, Bay Island, Port Blair"
492,Hami,CN,64.63,42.8,93.45,clear sky,Laoyutang Resort
493,Cache Creek,CA,66.92,50.8101,-121.3246,overcast clouds,Canadas Best Value Inn & Suites Cache Creek
497,Villa Carlos Paz,AR,62.24,-31.4241,-64.4978,clear sky,Monte Carlo
498,Antalaha,MG,69.96,-14.9003,50.2788,light rain,Hotel Vitasoa
500,Valle De Allende,MX,64.99,26.9333,-105.4,overcast clouds,Hotel Meson de San Bartolome
501,Aljezur,PT,63.41,37.3191,-8.8033,overcast clouds,Amazigh Hostel
502,Thunder Bay,CA,53.29,48.4001,-89.3168,clear sky,Victoria Inn Hotel and Convention Centre
503,Kindu,CD,67.69,-2.95,25.95,overcast clouds,Résidence Okanda
504,Smithers,CA,57.52,54.7804,-127.1743,broken clouds,"Prestige Hudson Bay Lodge, Premier Collection"
505,Vrede,ZA,57.29,-27.4257,29.1659,clear sky,Vrede Hotel
506,Nouakchott,MR,78.73,18.0858,-15.9785,overcast clouds,HOTEL IMAN فندق إيمان
508,Bani Walid,LY,65.3,31.7566,13.9942,clear sky,منزل الصابر أبوفانة
510,Guarapari,BR,73.29,-20.6667,-40.4975,overcast clouds,Hotel Porto do Sol
512,Umm Lajj,SA,83.39,25.0213,37.2685,clear sky,Moon light Furnished Units
513,Port Augusta,AU,75.7,-32.5,137.7667,broken clouds,Majestic Oasis Apartments
514,Prince George,CA,64.26,53.9166,-122.753,broken clouds,Canadas Best Value Inn Prince George
516,Salalah,OM,80.69,17.0151,54.0924,scattered clouds,HAMDAN PLAZA HOTEL SALALAH
517,Baturaja,ID,78.21,-4.1333,104.1667,overcast clouds,"HOTEL Sekar Sunja, Baturaja Timur, Ogan Komering Ulu"
519,Taft,IR,66.15,31.7471,54.2088,clear sky,بوم گردی حاجی زینل تفت
520,Hobyo,SO,77.29,5.3505,48.5268,overcast clouds,Halane Hotel and Restaurent
521,Ranong,TH,76.93,9.9658,98.6348,overcast clouds,Tinidee Hotel@Ranong
522,Woodward,US,79.72,36.4337,-99.3904,clear sky,"Holiday Inn Express & Suites Woodward Hwy 270, an IHG Hotel"
523,Konin,PL,53.06,52.2234,18.2512,few clouds,Hotel Kresowianka
524,Ilheus,BR,73.22,-14.7889,-39.0494,broken clouds,Barravento Hotel
525,General Pico,AR,53.13,-35.6566,-63.7568,clear sky,Euskadi Hotel
526,Okha,RU,55.38,53.5739,142.9478,overcast clouds,Империя
527,Surin,TH,79.18,14.8818,103.4936,overcast clouds,One Fu Hotel
528,Gushikawa,JP,87.8,26.3544,127.8686,few clouds,Kirari Guest House
529,Kushiro,JP,63.55,42.975,144.3747,scattered clouds,Toyoko Inn Kushiro Jujigai
530,Soe,ID,81.72,-9.8607,124.284,overcast clouds,Dena Hotel
531,Syracuse,IT,76.59,37.0881,15.2792,overcast clouds,Hotel Posta
532,Hasaki,JP,75.29,35.7333,140.8333,broken clouds,Hotel Sunrise Choshi
533,Izumo,JP,76.95,35.3667,132.7667,scattered clouds,Toyoko-Inn Izumoshi ekimae
534,Westport,US,68.76,41.1415,-73.3579,clear sky,The Westport Inn
535,Mwinilunga,ZM,66.83,-11.7358,24.4293,broken clouds,Kwakuwahi Lodge
537,Devils Lake,US,65.95,48.1128,-98.8651,clear sky,"Holiday Inn Express Devils Lake, an IHG Hotel"
538,Nakanojo,JP,73.94,36.5833,138.85,overcast clouds,山木屋旅館
540,Bilma,NE,82.54,18.6853,12.9164,clear sky,Expeditions Ténére voyages
541,Silvassa,IN,75.79,20.2667,73.0167,overcast clouds,Pluz Resort
542,Noumea,NC,76.98,-22.2763,166.4572,few clouds,Hôtel Le Lagon
543,Alenquer,BR,79.14,-1.9417,-54.7383,scattered clouds,Josilene Castro
545,Astoria,US,67.01,46.1879,-123.8313,moderate rain,Best Western Astoria Bayfront Hotel
546,Birjand,IR,61.27,32.8663,59.2211,clear sky,Birjand Tourist Hotel
547,Karratha,AU,75.45,-20.7377,116.8463,clear sky,ibis Styles Karratha
548,Limbang,MY,84.51,4.75,115.0,few clouds,Purnama Hotel
549,Utete,TZ,67.69,-7.986,38.758,broken clouds,River View Lodge
550,Buraydah,SA,73.85,26.326,43.975,overcast clouds,فندق راحة السلام
551,Ringas,IN,77.79,27.35,75.5667,clear sky,SPOT ON 62216 Hotel Shahi Niwas
552,Zhengjiatun,CN,68.11,43.5064,123.5064,overcast clouds,Siping Hexiang Hotel
553,Marsh Harbour,BS,80.08,26.5412,-77.0636,clear sky,Abaco Beach Resort
554,Kentau,KZ,57.85,43.5206,68.5094,clear sky,Safary
555,Nanakuli,US,89.55,21.3906,-158.1547,few clouds,Camp Pālehua
556,Cacador,BR,58.21,-26.7753,-51.015,clear sky,Hotel Weber
557,Fez,MA,64.65,34.0372,-4.9998,clear sky,Hotel Mounia Fès
558,Mogadishu,SO,77.79,2.0371,45.3438,scattered clouds,Hotel Juba
559,Eyl,SO,80.55,7.9803,49.8164,overcast clouds,Amiin Hotel
560,San Ignacio,BZ,75.34,17.1561,-89.0714,clear sky,Rainforest Haven Inn
561,Longkou,CN,67.73,37.6508,120.3286,overcast clouds,Pai Hotel Yantai Longkou City Heping Road
563,Areosa,PT,65.46,41.7178,-8.8571,overcast clouds,Hotel Flôr de Sal
564,Sehithwa,BW,67.51,-20.4667,22.7167,clear sky,MONLEK GUEST HOUSE
565,Bechem,GH,69.58,7.0903,-2.025,light rain,Orange Hotel
567,Banos,EC,56.41,-1.4,-78.4167,light rain,Samari Spa Resort
569,Kahului,US,85.26,20.8947,-156.47,scattered clouds,Maui Seaside Hotel
570,Mackay,AU,80.69,-21.15,149.2,scattered clouds,International Lodge Motel
571,Tymovskoye,RU,59.4,50.8456,142.655,overcast clouds,"Gostinitsa ""Domashnyaya"""
572,Gainesville,US,75.7,29.6516,-82.3248,clear sky,"Holiday Inn Gainesville-University Ctr, an IHG Hotel"
573,Ondjiva,AO,65.93,-17.0667,15.7333,clear sky,SOS Motel
575,Mount Gambier,AU,64.31,-37.8333,140.7667,overcast clouds,The Commodore
576,Iquique,CL,60.84,-20.2208,-70.1431,scattered clouds,Backpacker`s Hostel Iquique
577,Guanica,PR,84.15,17.9716,-66.908,broken clouds,Copamarina Beach Resort & Spa
580,Xiashi,CN,82.42,30.5363,120.6864,clear sky,皮都锦江大酒店
581,Redcliffe,AU,70.0,-27.2307,153.0973,broken clouds,Redvue Apartments
582,Mirzapur,IN,80.56,25.15,82.5833,clear sky,Capital O 5843 Hotel Yash Inn
583,Deception Bay,AU,70.0,-27.2,153.0333,overcast clouds,Hamptons at The Bay
584,Panacan,PH,83.8,9.2463,118.4082,few clouds,Mom's Place Resort
585,Lasa,IT,59.88,46.6166,10.7002,broken clouds,Pension Feldgärtenhof
587,Najran,SA,75.85,17.4924,44.1277,clear sky,محمد هادي ال فطيح
589,Preobrazheniye,RU,63.77,42.9019,133.9064,overcast clouds,Campsite Orlan
594,Santa Vitoria Do Palmar,BR,57.74,-33.5189,-53.3681,clear sky,Hostel Comodoro
595,Blytheville,US,73.36,35.9273,-89.919,clear sky,Days Inn by Wyndham Blytheville
596,Presidencia Roque Saenz Pena,AR,74.5,-26.7852,-60.4388,clear sky,Hotel Gualok
598,Nishihara,JP,87.85,26.1842,127.7558,scattered clouds,Minshuku Agaihama
599,Male,MV,79.59,4.1748,73.5089,overcast clouds,Hotel Octave Maldives
600,Mbaiki,CF,67.8,3.8678,17.9892,overcast clouds,Motel MBM
602,Caucaia,BR,84.07,-3.7361,-38.6531,scattered clouds,M.O.S. Logística - Filial Fortaleza
604,Balatonfured,HU,64.35,46.9619,17.8719,scattered clouds,Flamingó Wellness és Konferencia Hotel
605,Alvaraes,BR,72.73,-3.2208,-64.8042,broken clouds,Av. Castelo Branco. Ginásio Ermelino vieira.
606,Libertador General San Martin,AR,75.97,-23.8064,-64.7876,clear sky,Posada del Sol
607,Christchurch,NZ,54.32,-43.5333,172.6333,scattered clouds,The George
609,Nuoro,IT,67.19,40.3211,9.3297,overcast clouds,Hotel Sandalia
610,Lagunas,PE,78.91,-5.2269,-75.6753,broken clouds,Hospedaje Eco
611,Seguela,CI,69.89,7.9611,-6.6731,overcast clouds,Hotel le Carrefour
612,Victor Harbor,AU,73.8,-35.5667,138.6167,overcast clouds,McCracken Country Club
613,Puerto Escondido,MX,81.84,15.85,-97.0667,overcast clouds,Aldea del Bazar Hotel and Spa
614,La Labor,HN,67.42,14.4833,-89.0,overcast clouds,PUNTO MOVIL
615,Wum,CM,64.51,6.3833,10.0667,light rain,Wum Council Hall
616,Pingyin,CN,66.54,36.2831,116.4453,light rain,Meiyuan Hotel
617,Lagoa,PT,66.7,39.05,-27.9833,scattered clouds,Casa Das Faias
618,Huhi,MX,75.16,20.7167,-89.1667,broken clouds,cenote de la tortuga
619,Cururupu,BR,76.41,-1.8283,-44.8683,few clouds,POUSADA TRAVÉS'CIA
620,Nelson Bay,AU,67.08,-32.7167,152.15,few clouds,Mantra Nelson Bay
621,Waingapu,ID,83.71,-9.6567,120.2641,overcast clouds,Pondok Wisata Elim
622,Ternate,ID,83.86,0.8,127.4,scattered clouds,Grand Dafam Bela Ternate
623,Houma,US,75.97,29.5958,-90.7195,scattered clouds,Courtyard by Marriott Houma
626,Kutum,SD,71.17,14.2,24.6667,clear sky,Dibbo areaمنطقة دبو
630,Nchelenge,ZM,76.98,-9.3451,28.734,overcast clouds,KD Travellers Home
632,Santa Maria Do Suacui,BR,69.69,-18.1903,-42.4142,clear sky,Hotel do Vavá
633,Fuglebjerg,DK,61.56,55.306,11.5477,overcast clouds,Sandved Hotel
634,Komsomolskiy,UZ,72.32,40.4272,71.7189,clear sky,Ikathouse
635,Mizdah,LY,66.0,31.4451,12.9801,overcast clouds,محمدالمبروك الاريقط
637,Sao Geraldo Do Araguaia,BR,84.49,-6.4006,-48.555,overcast clouds,Hotel Por do Sol
639,Oxelosund,SE,52.18,58.6706,17.1015,clear sky,Stjärnholms Slott
641,Zhuhai,CN,87.98,22.2769,113.5678,few clouds,Nanyang Seascape Hotel Zhuhai Hotel
642,Ambilobe,MG,67.44,-13.2,49.05,few clouds,Hôtel & Restaurant DIANA Ambilobe
643,Srandakan,ID,80.65,-7.9386,110.2506,broken clouds,Puri Brata
649,Colac,AU,65.01,-38.3333,143.5833,overcast clouds,Otway Gate Motel
650,Arlit,NE,85.75,18.7369,7.3853,clear sky,Case de Passage De la Prefecture
651,Biltine,TD,82.78,14.5333,20.9167,broken clouds,Hôtel Trois Étoiles de Biltine
652,Sao Mateus,BR,72.41,-18.7161,-39.8589,few clouds,Hotel Rio Norte
653,Isla Mujeres,MX,82.45,21.2311,-86.731,few clouds,Hotel La Joya Isla Mujeres
654,Nouadhibou,MR,73.38,20.931,-17.0347,few clouds,El Medina
655,Lastoursville,GA,73.53,-0.8143,12.7287,overcast clouds,Auberge Bon Coin 02
656,Mariana,BR,63.82,-20.3778,-43.4161,overcast clouds,MINAS POUSADA E HOTEL LTDA
657,Doctor Arroyo,MX,70.09,23.6667,-100.1833,scattered clouds,Hotel Plaza
658,Yanliang,CN,65.39,34.6592,109.2292,light rain,Pod Inn Xi'an Yanliang Renmin Road
661,Laramie,US,71.53,41.3114,-105.5911,clear sky,Fairfield Inn & Suites by Marriott Laramie
662,Naze,JP,83.32,28.3667,129.4833,few clouds,オーベルジュ・アガルイ
663,Wanaka,NZ,51.12,-44.7,169.15,few clouds,Wanaka Homestead Lodge and Cottages
664,Kiunga,PG,81.27,-6.1219,141.2906,overcast clouds,Airport Lodge Kiunga
665,Wanning,CN,82.62,18.8003,110.3967,moderate rain,Paradise Hotel
667,Beyneu,KZ,58.69,45.3167,55.2,overcast clouds,NUR
668,Moranbah,AU,81.99,-22.0016,148.0466,clear sky,Direct Hotels - Monterey Moranbah
673,Hutchinson,US,84.15,38.0608,-97.9298,clear sky,OYO Hotel Hutchinson KS West 4th Ave
675,Kelo,TD,73.74,9.3086,15.8066,broken clouds,Plantation de Kelo
676,Camocim,BR,78.75,-2.9022,-40.8411,broken clouds,Hotel Ilha do Amor
680,Beni Mazar,EG,72.39,28.4962,30.8029,clear sky,Link Co-Working space & Development center
681,Loreto,MX,70.86,22.2667,-101.9667,overcast clouds,José de Jesús Velásquez mora
683,Ziro,IN,59.34,27.6333,93.8333,scattered clouds,Ka-ngam homestay
684,Hinton,CA,60.1,53.4001,-117.5857,clear sky,Econo Lodge & Suites
686,Manicore,BR,74.98,-5.8092,-61.3003,clear sky,Hotel Durval
687,Chumikan,RU,51.71,54.7183,135.315,overcast clouds,Fortuna
688,Liuhe,CN,61.56,42.2401,125.7172,light rain,Grain Hostel
689,Mackenzie,CA,59.22,55.2999,-123.1698,scattered clouds,Hilton Shop
691,Rayong,TH,82.96,12.8333,101.4333,broken clouds,Suan Palm Garden View Hotel
694,Bundaberg,AU,73.69,-24.85,152.35,broken clouds,Takalvan Motel
696,Choix,MX,84.7,26.7092,-108.3219,clear sky,Hotel Montesclaros
699,Tezu,IN,80.29,27.9167,96.1667,overcast clouds,Circuit House
700,Neropolis,BR,72.48,-16.4064,-49.2186,overcast clouds,Pousada Recanto do Cerrado
701,Molinella,IT,63.01,44.6213,11.6686,overcast clouds,Hotel Mini Palace
702,Santiago Do Cacem,PT,61.03,38.0169,-8.6948,overcast clouds,Hotel Dom Nuno
703,Tocopilla,CL,62.78,-22.092,-70.1979,few clouds,Hotel Galvarino
704,Rio Grande,BR,60.94,-32.035,-52.0986,clear sky,Hotel Atlântico Rio Grande
705,Shieli,KZ,58.12,44.1667,66.75,overcast clouds,Gostinitsa Aybek Shieli
707,Sept-Iles,CA,56.25,50.2001,-66.3821,mist,Comfort Inn
708,Manggar,ID,84.15,-2.8833,108.2667,broken clouds,Guest Hotel
709,The Pas,CA,57.22,53.8251,-101.2541,overcast clouds,Wescana Inn
710,Ifakara,TZ,69.64,-8.1333,36.6833,broken clouds,Tanzanian Training Centre for International Health
714,Carutapera,BR,78.39,-1.195,-46.02,broken clouds,Lidera
715,Coolum Beach,AU,70.11,-26.5333,153.1,overcast clouds,Palmer Coolum Resort
717,Quatre Cocos,MU,68.11,-20.2078,57.7625,light rain,Sunrise Attitude Hotel
