City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Jamestown,US,42.097,-79.2353,61.34,79,1,1.01,clear sky
1,Qaanaaq,GL,77.484,-69.3632,19.06,59,63,8.12,broken clouds
2,Hilo,US,19.7297,-155.09,87.28,84,90,9.22,moderate rain
3,Krasnoselkup,RU,65.7,82.4667,33.31,90,66,8.16,broken clouds
4,Ikongo,MG,-21.8833,47.4333,60.04,96,27,2.59,scattered clouds
5,Touros,BR,-5.1989,-35.4608,76.1,82,39,15.7,scattered clouds
6,Corsicana,US,32.0954,-96.4689,80.96,48,1,5.75,clear sky
7,Saskylakh,RU,71.9167,114.0833,34.95,99,100,11.88,overcast clouds
8,Georgetown,MY,5.4112,100.3354,80.89,87,20,3.44,few clouds
9,Rikitea,PF,-23.1203,-134.9692,73.78,72,2,19.42,clear sky
10,Port Alfred,ZA,-33.5906,26.891,64.33,91,25,19.57,scattered clouds
11,Nador,MA,35.174,-2.9287,64.65,88,0,0.0,clear sky
12,Kapaa,US,22.0752,-159.319,84.18,73,75,5.01,light rain
13,Palmer,US,42.1584,-72.3287,57.85,79,1,0.0,clear sky
14,Provideniya,RU,64.3833,-173.3,41.11,56,0,8.95,clear sky
15,Ushuaia,AR,-54.8,-68.3,40.66,87,0,6.91,clear sky
16,Airai,TL,-8.9266,125.4092,76.01,33,99,2.59,overcast clouds
17,Yakima,US,46.4665,-120.6678,80.65,32,1,26.46,dust
18,Ziarat,PK,30.3823,67.7282,58.59,59,0,0.6,clear sky
19,Mataura,NZ,-46.1927,168.8643,52.48,35,6,2.44,clear sky
20,Tual,ID,-5.6667,132.75,80.74,81,93,11.63,overcast clouds
21,Nikolskoye,RU,59.7035,30.7861,48.09,98,39,4.34,scattered clouds
22,Hualmay,PE,-11.0964,-77.6139,62.29,85,27,7.07,scattered clouds
23,Husavik,IS,66.0449,-17.3389,33.71,98,100,29.48,heavy snow
24,Mar Del Plata,AR,-38.0023,-57.5575,54.09,66,90,1.01,overcast clouds
25,Marawi,PH,7.9986,124.2928,74.64,64,84,2.95,broken clouds
26,Kaka,TM,37.3482,59.6143,61.88,68,100,6.35,overcast clouds
27,Fairbanks,US,64.8378,-147.7164,36.61,73,75,3.44,broken clouds
28,Gemena,CD,3.25,19.7667,67.86,98,100,1.34,overcast clouds
29,Avarua,CK,-21.2078,-159.775,78.85,69,40,4.61,scattered clouds
30,Atuona,PF,-9.8,-139.0333,78.12,72,6,17.22,clear sky
31,Lebu,CL,-37.6167,-73.65,48.7,73,5,20.54,clear sky
32,San Patricio,US,28.017,-97.5169,80.69,61,100,11.12,overcast clouds
33,Yinchuan,CN,38.4681,106.2731,66.76,45,100,2.24,overcast clouds
34,Barrow,US,71.2906,-156.7887,21.22,86,1,11.5,clear sky
35,Adrar,MR,20.5022,-10.0711,91.76,12,0,9.4,clear sky
36,Guerrero Negro,MX,27.9769,-114.0611,70.95,71,0,18.39,clear sky
37,Agbor,NG,6.2518,6.1934,72.46,98,100,2.57,overcast clouds
38,Pangnirtung,CA,66.1451,-65.7125,32.14,77,18,2.46,few clouds
39,Atherton,GB,53.5237,-2.4935,64.29,89,100,7.0,overcast clouds
40,Sulangan,PH,11.1373,123.7228,83.05,76,100,7.34,overcast clouds
41,Kaeo,NZ,-35.1,173.7833,53.56,84,100,4.14,light rain
42,Hobart,AU,-42.8794,147.3294,57.25,49,20,3.0,few clouds
43,Albany,US,42.6001,-73.9662,56.59,83,1,5.03,clear sky
44,Arraial Do Cabo,BR,-22.9661,-42.0278,71.26,85,60,22.21,broken clouds
45,Siavonga,ZM,-16.5382,28.7088,75.02,42,26,3.89,scattered clouds
46,Svarstad,NO,59.399,9.9698,53.26,60,100,1.97,overcast clouds
47,Sao Miguel Do Araguaia,BR,-13.275,-50.1628,83.55,41,67,3.53,broken clouds
48,Filadelfia,US,39.9523,-75.1638,64.76,66,1,3.44,clear sky
49,Busselton,AU,-33.65,115.3333,60.04,80,48,13.8,scattered clouds
50,Butaritari,KI,3.0707,172.7902,83.97,72,99,15.88,overcast clouds
51,Penzance,GB,50.1186,-5.5371,63.61,95,100,21.12,moderate rain
52,Thompson,CA,55.7435,-97.8558,51.96,82,20,2.3,few clouds
53,Sovetskiy,RU,61.3614,63.5842,29.84,91,94,6.17,overcast clouds
54,Zyryanka,RU,65.75,150.85,36.7,92,100,11.25,light rain
55,Caravelas,BR,-17.7125,-39.2481,73.0,77,100,8.16,overcast clouds
56,Codrington,AU,-38.2667,141.9667,61.14,58,11,12.01,few clouds
57,Asfi,MA,32.2994,-9.2372,68.86,81,91,12.77,overcast clouds
58,Katangli,RU,51.7102,143.2326,54.86,64,100,1.83,overcast clouds
59,Waipawa,NZ,-41.4122,175.5153,46.45,89,100,9.75,light rain
60,Matamoros,MX,25.5333,-103.25,82.0,36,100,9.44,overcast clouds
61,Yerbogachen,RU,61.2767,108.0108,32.49,94,100,13.6,snow
62,Blagoyevo,RU,63.3667,47.9167,42.55,94,100,5.88,overcast clouds
63,High Wycombe,GB,51.6291,-0.7493,64.18,91,100,1.01,overcast clouds
64,Bredasdorp,ZA,-34.5322,20.0403,58.32,88,39,4.61,scattered clouds
65,Loncoche,CL,-39.3667,-72.6333,44.38,88,0,2.59,clear sky
66,Saint George,US,37.1041,-113.5841,90.07,24,1,1.01,clear sky
67,Punta Arenas,CL,-53.15,-70.9167,39.31,81,20,9.22,few clouds
68,Coihaique,CL,-45.5752,-72.0662,39.15,87,0,3.44,clear sky
69,Hithadhoo,MV,-0.6,73.0833,82.2,74,100,17.56,overcast clouds
70,Yulara,AU,-25.2406,130.9889,84.04,10,100,14.97,overcast clouds
71,Nanortalik,GL,60.1432,-45.2371,37.08,80,7,1.92,clear sky
72,Acapulco,MX,16.8634,-99.8901,84.02,70,90,3.44,overcast clouds
73,Novobureyskiy,RU,49.798,129.8774,57.76,94,100,19.17,light rain
74,Isangel,VU,-19.55,169.2667,75.83,61,74,8.16,broken clouds
75,Lobito,AO,-12.3481,13.5456,69.42,83,0,5.77,clear sky
76,Ancud,CL,-41.8697,-73.8203,38.73,81,89,5.46,overcast clouds
77,Cabo San Lucas,MX,22.8909,-109.9124,86.5,75,5,1.01,clear sky
78,Sitka,US,57.0531,-135.33,55.29,54,90,12.66,overcast clouds
79,Palotina,BR,-24.2839,-53.84,78.24,40,0,3.49,clear sky
80,Upernavik,GL,72.7868,-56.1549,23.77,64,0,3.83,clear sky
81,Pevek,RU,69.7008,170.3133,31.51,89,100,24.25,light snow
82,Dudinka,RU,69.4058,86.1778,31.15,60,93,7.05,overcast clouds
83,Tuatapere,NZ,-46.1333,167.6833,52.83,44,5,2.19,clear sky
84,Ilulissat,GL,69.2167,-51.1,19.42,49,1,3.44,clear sky
85,Lompoc,US,34.6391,-120.4579,65.12,82,1,8.05,clear sky
86,Pilar,BR,-9.5972,-35.9567,78.73,92,20,5.88,few clouds
87,Pisco,PE,-13.7,-76.2167,60.85,82,0,9.22,clear sky
88,Tiarei,PF,-17.5333,-149.3333,84.22,77,5,12.91,clear sky
89,Yellowknife,CA,62.456,-114.3525,43.32,77,20,2.3,few clouds
90,Buala,SB,-8.145,159.5921,85.14,67,48,5.55,light rain
91,Vera Cruz,BR,-12.6333,-41.0333,69.57,79,4,5.88,clear sky
92,Vaini,TO,-21.2,-175.2,77.16,83,75,6.91,broken clouds
93,Cap Malheureux,MU,-19.9842,57.6142,68.49,89,58,7.0,light rain
94,Shimoda,JP,34.6667,138.95,71.96,67,12,19.77,few clouds
95,Bluff,NZ,-46.6,168.3333,52.81,53,7,5.35,clear sky
96,Victoria,HK,22.2855,114.1577,87.96,77,39,4.0,scattered clouds
97,Coahuayana,MX,18.7333,-103.6833,80.24,86,90,2.42,overcast clouds
98,Bumba,CD,2.1833,22.4667,69.98,94,100,1.16,overcast clouds
99,Cape Town,ZA,-33.9258,18.4232,60.28,76,0,1.99,clear sky
100,Leningradskiy,RU,69.3833,178.4167,29.14,77,100,7.11,overcast clouds
101,Rjukan,NO,59.8789,8.5941,53.82,98,100,2.42,overcast clouds
102,Raudeberg,NO,61.9875,5.1352,57.87,85,100,8.41,overcast clouds
103,Manokwari,ID,-0.8667,134.0833,83.46,69,45,4.14,scattered clouds
104,Namatanai,PG,-3.6667,152.4333,84.88,67,27,4.41,light rain
105,Soyo,AO,-6.1349,12.3689,74.91,87,100,6.58,overcast clouds
106,Port Elizabeth,ZA,-33.918,25.5701,62.89,94,0,11.5,clear sky
107,Yamada,JP,39.4667,141.95,64.56,74,98,6.46,overcast clouds
108,Kruisfontein,ZA,-34.0033,24.7314,54.88,95,5,6.78,clear sky
109,Agadir,MA,30.4202,-9.5982,64.85,56,20,3.18,few clouds
110,Matara,LK,5.9485,80.5353,76.73,89,100,18.19,overcast clouds
111,Alofi,NU,-19.0595,-169.9187,80.49,61,100,6.91,overcast clouds
112,Rocha,UY,-34.4833,-54.3333,54.61,94,7,3.76,clear sky
113,Dalianwan,CN,39.0286,121.695,66.24,94,75,6.71,light rain
114,Ribeira Grande,PT,38.5167,-28.7,68.2,73,78,23.11,broken clouds
115,Angoram,PG,-4.0625,144.0661,84.99,77,100,1.66,overcast clouds
116,Cayenne,GF,4.9333,-52.3333,83.08,78,67,3.0,broken clouds
117,Marrakesh,MA,31.6315,-8.0083,69.87,56,0,4.61,clear sky
118,Port Hardy,CA,50.6996,-127.4199,57.2,82,90,21.85,light rain
119,Kuandian,CN,40.7286,124.7847,61.65,96,100,0.94,light rain
120,Broome,US,42.2506,-75.833,58.57,71,11,3.85,few clouds
121,Geraldton,AU,-28.7667,114.6,66.61,55,40,14.97,scattered clouds
122,Apiai,BR,-24.5094,-48.8425,57.6,99,45,3.15,scattered clouds
123,Beppu,JP,33.2736,131.4919,79.48,71,35,5.86,scattered clouds
124,Hamilton,US,39.1834,-84.5333,65.84,65,1,0.0,clear sky
125,Mandera,KE,3.9366,41.867,76.96,55,0,10.83,clear sky
126,Luderitz,NA,-26.6481,15.1594,57.16,95,52,15.75,broken clouds
127,Castro,BR,-24.7911,-50.0119,63.05,73,2,4.27,clear sky
128,Snyder,US,32.7179,-100.9176,80.94,28,1,6.91,clear sky
129,Hermanus,ZA,-34.4187,19.2345,58.89,90,73,6.13,broken clouds
130,Kangaba,ML,11.9333,-8.4167,72.0,91,81,6.89,moderate rain
131,Bubaque,GW,11.2833,-15.8333,83.43,78,100,10.69,overcast clouds
132,Killybegs,IE,54.6333,-8.45,49.44,83,100,6.98,overcast clouds
133,Ketchikan,US,55.3422,-131.6461,51.78,87,90,8.05,moderate rain
134,Youkounkoun,GN,12.5333,-13.1333,77.58,88,96,1.83,overcast clouds
135,Aykhal,RU,66.0,111.5,28.89,89,100,16.91,overcast clouds
136,Bambous Virieux,MU,-20.3428,57.7575,68.25,94,75,18.41,light intensity shower rain
137,Tautira,PF,-17.7333,-149.15,84.22,77,16,13.13,few clouds
138,Goksun,TR,38.021,36.4973,47.35,33,0,5.99,clear sky
139,Moree,AU,-29.4667,149.85,71.62,40,54,17.27,broken clouds
140,Shingu,JP,33.7333,135.9833,74.39,85,99,9.8,overcast clouds
141,Papara,BR,-3.9839,-38.7273,82.72,84,40,8.19,scattered clouds
142,Itoman,JP,26.1247,127.6694,86.02,74,20,11.5,few clouds
143,Gasa,PS,31.5,34.4667,76.98,65,0,7.94,clear sky
144,Gat,IL,31.61,34.7642,76.91,100,0,4.14,clear sky
145,Lata,PT,40.1629,-8.3327,64.04,97,100,1.25,overcast clouds
146,East London,ZA,-33.0153,27.9116,66.0,82,79,17.56,broken clouds
147,La Macarena,CO,2.1837,-73.7849,75.4,70,5,0.78,clear sky
148,Carnarvon,AU,-24.8667,113.6333,68.07,60,40,11.5,scattered clouds
149,Blankenberge,BE,51.3131,3.1323,60.01,87,18,9.1,few clouds
150,Vardo,NO,70.3705,31.1107,48.0,85,100,21.05,overcast clouds
151,Puerto Ayora,EC,-0.7393,-90.3518,69.28,90,99,8.37,overcast clouds
152,Talavera,PH,15.6167,120.9333,83.66,76,12,1.41,few clouds
153,Labuhan,ID,-6.8844,112.2051,80.82,74,19,4.97,few clouds
154,Iqaluit,CA,63.7506,-68.5145,35.33,87,75,11.99,broken clouds
155,Kodiak,US,57.79,-152.4072,47.53,55,0,11.1,clear sky
156,Pacific Grove,US,36.6177,-121.9166,71.62,82,75,5.01,broken clouds
157,Shibetsu,JP,43.659,145.132,65.1,68,20,12.66,few clouds
158,Coquimbo,CL,-29.9533,-71.3436,55.13,87,0,3.44,clear sky
159,San Quintin,MX,30.4833,-115.95,68.49,75,33,12.41,scattered clouds
160,Luwuk,ID,-0.9516,122.7875,83.46,68,100,5.35,overcast clouds
161,Ostrovnoy,RU,68.0531,39.5131,43.39,91,99,15.77,overcast clouds
162,Port Macquarie,AU,-31.4333,152.9167,65.37,45,95,5.66,overcast clouds
163,Tiksi,RU,71.6872,128.8694,33.62,96,100,7.02,light rain
164,Rincon,US,32.296,-81.2354,74.86,80,1,3.44,clear sky
165,Dno,RU,57.8277,29.9637,41.0,98,25,4.68,scattered clouds
166,Pergamino,AR,-33.89,-60.5736,66.25,67,6,10.63,clear sky
167,Fort Nelson,CA,58.8053,-122.7002,45.99,66,90,4.61,light rain
168,Muravlenko,RU,63.7898,74.523,31.15,86,7,8.52,clear sky
169,Chuy,UY,-33.6971,-53.4616,57.4,94,11,5.59,few clouds
170,Prince Rupert,CA,54.3161,-130.3201,51.89,93,90,0.0,moderate rain
171,Stephenville,US,32.2207,-98.2023,78.8,37,1,5.75,clear sky
172,Seymchan,RU,62.8833,152.4333,38.44,58,89,4.05,overcast clouds
173,Russkaya Polyana,UA,49.417,31.9201,47.79,75,5,7.02,clear sky
174,Kargasok,RU,59.0556,80.8572,33.57,92,91,7.65,overcast clouds
175,Esperance,AU,-33.8667,121.9,58.84,88,81,12.15,broken clouds
176,Hirara,JP,24.8,125.2833,87.66,79,20,9.22,few clouds
177,Makakilo City,US,21.3469,-158.0858,88.12,57,20,12.66,few clouds
178,Sambava,MG,-14.2667,50.1667,70.9,80,99,13.2,light rain
179,Vila Franca Do Campo,PT,37.7167,-25.4333,70.2,92,100,7.27,overcast clouds
180,Prado,BR,-17.3411,-39.2208,73.31,79,83,10.18,broken clouds
181,Urumqi,CN,43.801,87.6005,52.75,35,0,4.47,clear sky
182,Staryy Nadym,RU,65.6118,72.6842,32.25,80,1,4.29,clear sky
183,Lalmohan,BD,22.3384,90.7419,83.21,77,100,5.14,overcast clouds
184,Ballitoville,ZA,-29.539,31.2144,63.25,88,0,1.14,clear sky
185,Teya,RU,60.3778,92.6267,33.94,94,100,4.65,overcast clouds
186,Cidreira,BR,-30.1811,-50.2056,64.8,95,2,9.01,clear sky
187,Klaksvik,FO,62.2266,-6.589,49.12,82,84,17.63,broken clouds
188,Santa Maria,BR,-29.6842,-53.8069,61.9,87,0,4.63,clear sky
189,Saint-Joseph,RE,-21.3667,55.6167,67.21,84,45,15.17,light rain
190,Palana,RU,59.1167,159.9667,45.07,71,95,6.26,overcast clouds
191,Tubuala,PA,9.5167,-79.0333,80.71,83,100,1.99,overcast clouds
192,Qasigiannguit,GL,68.8193,-51.1922,19.65,78,0,4.23,clear sky
193,Mataram,ID,-8.5833,116.1167,85.01,66,81,11.77,broken clouds
194,Faya,SA,18.3851,42.4509,63.12,24,4,3.62,clear sky
195,Svetlogorsk,BY,52.6333,29.7333,41.31,95,0,6.38,clear sky
196,Kijang,KR,35.2442,129.2139,74.93,75,84,13.31,broken clouds
197,Sciacca,IT,37.5082,13.0881,76.1,83,20,2.91,few clouds
198,Fortuna,US,40.5982,-124.1573,68.41,68,75,4.0,broken clouds
199,Fallon,US,39.4735,-118.7774,84.45,10,1,11.5,haze
200,Ucluelet,CA,48.9329,-125.5528,57.09,93,100,1.99,overcast clouds
201,Tessalit,ML,20.1986,1.0114,86.59,15,0,8.84,clear sky
202,Odienne,CI,9.51,-7.5692,70.41,97,100,5.7,overcast clouds
203,Adana,TR,36.985,35.2881,69.82,56,0,4.61,clear sky
204,Bucksport,US,44.5737,-68.7956,57.76,83,4,5.26,clear sky
205,Torbay,CA,47.6666,-52.7314,54.75,92,40,14.97,scattered clouds
206,Poso,ID,-1.3959,120.7524,84.45,65,60,1.01,broken clouds
207,Tabas,IR,33.5959,56.9244,72.7,41,0,2.68,clear sky
208,Lesosibirsk,RU,58.2358,92.4828,37.76,92,100,4.47,overcast clouds
209,Acandi,CO,8.5063,-77.2778,78.42,92,54,2.95,broken clouds
210,Huarmey,PE,-10.0681,-78.1522,63.32,86,33,5.86,scattered clouds
211,Norman Wells,CA,65.282,-126.8329,33.84,75,75,5.75,broken clouds
212,Bethel,US,41.3712,-73.414,63.57,81,1,0.0,clear sky
213,Abu Dhabi,AE,24.4667,54.3667,89.62,45,100,6.91,overcast clouds
214,Emirdag,TR,39.0197,31.15,55.78,55,5,1.61,clear sky
215,Baruun-Urt,MN,46.6806,113.2792,49.53,41,0,9.89,clear sky
216,San Carlos Del Zulia,VE,9.0,-71.9135,80.89,70,9,4.05,clear sky
217,Kurumkan,RU,54.3,110.3,39.54,76,100,3.06,overcast clouds
218,Son La,VN,21.3167,103.9,70.21,93,56,1.48,broken clouds
219,Warrnambool,AU,-38.3833,142.4833,61.81,60,48,13.38,scattered clouds
220,Cabra,ES,37.4725,-4.4421,70.39,60,100,1.7,overcast clouds
221,Cherskiy,RU,68.75,161.3,29.57,97,100,23.22,snow
222,Taltal,CL,-25.4,-70.4833,62.26,72,0,5.79,clear sky
223,Nichinan,JP,31.6,131.3667,81.55,80,93,15.88,overcast clouds
224,Taksimo,RU,56.3444,114.8794,39.06,83,100,4.16,overcast clouds
225,Ntcheu,MW,-14.8203,34.6359,65.98,59,24,5.91,few clouds
226,Pimenta Bueno,BR,-11.6725,-61.1936,78.87,67,73,3.2,broken clouds
227,Ilave,PE,-16.0833,-69.6667,48.67,70,70,9.48,broken clouds
228,Fort-Shevchenko,KZ,44.5086,50.263,65.21,69,100,27.22,overcast clouds
229,Olafsvik,IS,64.8945,-23.7142,39.49,72,100,35.46,overcast clouds
230,Hervey Bay,AU,-25.2986,152.8535,75.31,62,88,20.85,overcast clouds
231,Akyab,MM,20.15,92.9,78.04,92,100,2.86,light rain
232,Constitucion,CL,-35.3333,-72.4167,49.96,79,22,10.74,few clouds
233,Sabang,ID,5.8933,95.3214,81.48,76,100,18.41,light rain
234,Mahebourg,MU,-20.4081,57.7,68.29,94,75,18.41,light intensity shower rain
235,Goderich,CA,43.7501,-81.7165,62.92,59,100,8.05,overcast clouds
236,Cabedelo,BR,-6.9811,-34.8339,75.87,84,37,17.72,scattered clouds
237,Gander,CA,48.9682,-54.5906,53.73,87,75,8.01,broken clouds
238,Okahandja,NA,-21.9833,16.9167,73.71,28,6,1.41,clear sky
239,Kuala Terengganu,MY,5.3302,103.1408,80.55,83,20,2.3,few clouds
